species,season,animal,n,total
Achromobacter,"",1,0,0
Acinetobacter,"",1,0,18
Aerococcus,"",1,0,6
Alcaligenes,"",1,0,2
Bacillus,"",1,0,4
Burkholderia,"",1,0,6
Candida,"",1,0,9
Chromobacterium,"",1,0,1
Citrobacter,"",1,0,13
Clostridium,"",1,0,0
Corynebacterium,"",1,0,5
Cryptococcus,"",1,0,0
Enterobacter,"",1,0,50
Enteroccocus,"",1,0,0
Enterococcus,"",1,0,252
Escherichia,"",1,0,1333
Fusarium,"",1,0,0
Klebsiella,"",1,0,150
Kluyvera,"",1,0,1
Kocuria,"",1,0,1
Lactococcus,"",1,0,1
Leclercia,"",1,0,3
Leuconostoc,"",1,0,1
Micrococcus,"",1,0,2
Morganella,"",1,0,2
Pandoraea,"",1,0,1
Pantoea,"",1,0,10
Pasteurella,"",1,0,4
Plesiomonas,"",1,0,0
Proteus,"",1,0,389
Providencia,"",1,0,4
Pseudomonas,"",1,0,121
Raoultella,"",1,0,6
Serratia,"",1,0,20
Shewanella,"",1,0,1
Shigella,"",1,0,2
Sphingomonas,"",1,0,11
Staphylococcus,"",1,0,326
Stenotrophomonas,"",1,0,4
Streptococcus,"",1,0,191
Vagococcus,"",1,0,1
Achromobacter,I,1,0,0
Acinetobacter,I,1,2,18
Aerococcus,I,1,0,6
Alcaligenes,I,1,0,2
Bacillus,I,1,0,4
Burkholderia,I,1,2,6
Candida,I,1,3,9
Chromobacterium,I,1,1,1
Citrobacter,I,1,3,13
Clostridium,I,1,0,0
Corynebacterium,I,1,0,5
Cryptococcus,I,1,0,0
Enterobacter,I,1,11,50
Enteroccocus,I,1,0,0
Enterococcus,I,1,52,252
Escherichia,I,1,350,1333
Fusarium,I,1,0,0
Klebsiella,I,1,39,150
Kluyvera,I,1,1,1
Kocuria,I,1,0,1
Lactococcus,I,1,0,1
Leclercia,I,1,1,3
Leuconostoc,I,1,0,1
Micrococcus,I,1,0,2
Morganella,I,1,0,2
Pandoraea,I,1,1,1
Pantoea,I,1,3,10
Pasteurella,I,1,1,4
Plesiomonas,I,1,0,0
Proteus,I,1,112,389
Providencia,I,1,0,4
Pseudomonas,I,1,21,121
Raoultella,I,1,2,6
Serratia,I,1,0,20
Shewanella,I,1,0,1
Shigella,I,1,2,2
Sphingomonas,I,1,1,11
Staphylococcus,I,1,69,326
Stenotrophomonas,I,1,1,4
Streptococcus,I,1,46,191
Vagococcus,I,1,0,1
Achromobacter,O,1,0,0
Acinetobacter,O,1,4,18
Aerococcus,O,1,4,6
Alcaligenes,O,1,1,2
Bacillus,O,1,1,4
Burkholderia,O,1,1,6
Candida,O,1,1,9
Chromobacterium,O,1,0,1
Citrobacter,O,1,6,13
Clostridium,O,1,0,0
Corynebacterium,O,1,3,5
Cryptococcus,O,1,0,0
Enterobacter,O,1,18,50
Enteroccocus,O,1,0,0
Enterococcus,O,1,71,252
Escherichia,O,1,355,1333
Fusarium,O,1,0,0
Klebsiella,O,1,49,150
Kluyvera,O,1,0,1
Kocuria,O,1,0,1
Lactococcus,O,1,0,1
Leclercia,O,1,0,3
Leuconostoc,O,1,1,1
Micrococcus,O,1,1,2
Morganella,O,1,1,2
Pandoraea,O,1,0,1
Pantoea,O,1,0,10
Pasteurella,O,1,1,4
Plesiomonas,O,1,0,0
Proteus,O,1,106,389
Providencia,O,1,2,4
Pseudomonas,O,1,36,121
Raoultella,O,1,1,6
Serratia,O,1,9,20
Shewanella,O,1,1,1
Shigella,O,1,0,2
Sphingomonas,O,1,3,11
Staphylococcus,O,1,85,326
Stenotrophomonas,O,1,1,4
Streptococcus,O,1,47,191
Vagococcus,O,1,0,1
Achromobacter,P,1,0,0
Acinetobacter,P,1,1,18
Aerococcus,P,1,1,6
Alcaligenes,P,1,1,2
Bacillus,P,1,0,4
Burkholderia,P,1,1,6
Candida,P,1,2,9
Chromobacterium,P,1,0,1
Citrobacter,P,1,2,13
Clostridium,P,1,0,0
Corynebacterium,P,1,0,5
Cryptococcus,P,1,0,0
Enterobacter,P,1,7,50
Enteroccocus,P,1,0,0
Enterococcus,P,1,51,252
Escherichia,P,1,283,1333
Fusarium,P,1,0,0
Klebsiella,P,1,21,150
Kluyvera,P,1,0,1
Kocuria,P,1,1,1
Lactococcus,P,1,1,1
Leclercia,P,1,0,3
