MUESTRA,ID,FECHA,CP,C.A,ORIGEN,EDAD,PERRO/GATO,nº ESPECIES,RESULTADO,ESPECIE 1,ESPECIE 2,ESPECIE 3,ESTACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10562300,3/13/17,28220,MADRID,MD,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10562959,3/13/17,28016,MADRID,MD,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10563198,3/13/17,28053,MADRID,ZZZZ,4,1,1,"> 100.000 UFC/ml Staphylococcus pseudintermedius



",Staphylococcus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10582910,3/13/17,08930,CATALUÑA,ZZZZ,13,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10648719,3/13/17,28600,MADRID,M,NC,1,1,"> 100.000 UFC/ml Enterobacter amnigenus


",Enterobacter,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10648726,3/13/17,N/A,N/A,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10648732,3/13/17,08302,CATALUÑA,T,NC,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10098781,3/14/17,08002,CATALUÑA,ZZZZ,6,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10107282,3/14/17,28330,MADRID,ZZZZ,NC,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10409251,3/14/17,15930,GALICIA,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10432629,3/14/17,28044,MADRID,ZZZZ,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10442477,3/14/17,39477,CANTABRIA,ZZZZ,8,1,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10497682,3/14/17,29007,ANDALUCIA,ZZZZ,9,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10503188,3/14/17,28029,MADRID,ZZZZ,16,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10520617,3/14/17,28015,MADRID,ZZZZ,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10521427,3/14/17,28523,MADRID,ZZZZ,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10539771,3/14/17,28941,MADRID,ZZZZ,10,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10542045,3/14/17,28018,MADRID,ZZZZ,6,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10554616,3/14/17,08223,CATALUÑA,ZZZZ,3,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10556357,3/14/17,03204,VALENCIA,ZZZZ,7,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10558671,3/14/17,46920,VALENCIA,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10558672,3/14/17,46920,VALENCIA,ZZZZ,9,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10562800,3/14/17,28006,MADRID,MD,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10562983,3/14/17,28924,MADRID,MD,NC,2,1,"> 100.000 UFC/ml Escherichia coli



",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10565347,3/14/17,48010,PAÍS VASCO,ZZZZ,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10577218,3/14/17,46022,VALENCIA,M,NC,1,2,"> 100.000 UFC/ml Escherichia coli

30.000 UFC/ml Streptococcus canis


",Escherichia ,Streptococcus,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10582907,3/14/17,08930,CATALUÑA,ZZZZ,5,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10648770,3/14/17,08340,CATALUÑA,M,NC,2,1,"> 100.000 UFC/ml Escherichia coli


",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10656203,3/14/17,07010,BALEARES,M,NC,1,1,"> 100.000 UFC/ml Escherichia coli


",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10656258,3/14/17,08013,CATALUÑA,T,NC,2,1,"5.000 UFC/ml Escherichia coli



",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10667817,3/14/17,33400,ASTURIAS,M,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,10667819,3/14/17,39300,CANTABRIA,M,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,10667824,3/14/17,25008,CATALUÑA,M,NC,1,1,"> 100.000 UFC/ml Proteus mirabilis


",Proteus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,10667830,3/14/17,08029,CATALUÑA,M,NC,1,1,"> 100.000 UFC/ml Proteus mirabilis


",Proteus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,10667836,3/14/17,46980,VALENCIA,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,10667841,3/14/17,15008,GALICIA,M,NC,1,1,"15.000 UFC/ml Proteus mirabilis



",Proteus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10667859,3/14/17,08812,CATALUÑA,M,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10667865,3/14/17,07609,BALEARES,M,NC,1,1,"> 100.000 UFC/ml Staphylococcus pseudintermedius



",Staphylococcus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10667867,3/14/17,08036,CATALUÑA,M,NC,2,1,"> 100.000 UFC/ml Enterococcus faecalis



",Enterococcus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,10029764,3/15/17,15173,GALICIA,ZZZZ,6,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,10107080,3/15/17,21004,ANDALUCIA,ZZZZ,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,10276760,3/15/17,12005,VALENCIA,M,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,10316508,3/15/17,07510,BALEARES,ZZZZ,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,10318776,3/15/17,03690,VALENCIA,M,NC,1,2,"> 100.000 UFC/ml Proteus mirabilis

> 100.000 UFC/ml Enterobacter aerogenes



",Proteus,Enterobacter,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,10322844,3/15/17,46009,VALENCIA,ZZZZ,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,10323631,3/15/17,07141,BALEARES,M,NC,1,1,"> 100.000 UFC/ml Streptococcus dysgalactiae


",Streptococcus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,10374508,3/15/17,07013,BALEARES,M,NC,2,1,"> 100.000 UFC/ml Escherichia coli


",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,10389563,3/15/17,28924,MADRID,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,10391427,3/15/17,15006,GALICIA,ZZZZ,6,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,10518494,3/15/17,28820,MADRID,ZZZZ,10,2,1,"> 100.000 UFC/ml Escherichia coli


",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,10519806,3/15/17,07010,BALEARES,M,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,10535087,3/15/17,28934,MADRID,ZZZZ,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,10539766,3/15/17,48650,PAÍS VASCO,MD,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,10562601,3/15/17,28941,MADRID,ZZZZ,4,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,10565350,3/15/17,28232,MADRID,ZZZZ,2,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,10572321,3/15/17,48010,PAÍS VASCO,ZZZZ,10,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,10582909,3/15/17,08917,CATALUÑA,M,NC,1,1,"> 100.000 UFC/ml Escherichia coli


",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,10582913,3/15/17,08930,CATALUÑA,ZZZZ,12,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10591940,3/15/17,08930,CATALUÑA,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,10596563,3/15/17,08016,CATALUÑA,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,10642800,3/15/17,28007,MADRID,M,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,10656000,3/15/17,08720,CATALUÑA,M,NC,2,1,"> 100.000 UFC/ml Staphylococcus coagulasa negativa

",Staphylococcus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
