,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,DATOS GENERALES,,,,OTOÑO ,,,INVIERNO,,,PRIMAVERA,,,VERANO,,
,ESPECIE AISLADA,Nº POSITIVOS,Nº PERROS,Nº GATOS,NOTAS,Nº POSITIVOS,Nº PERROS,Nº GATOS,Nº POSITIVOS,Nº PERROS,Nº GATOS,Nº POSITIVOS,Nº PERROS,Nº GATOS,Nº POSITIVOS,Nº PERROS,Nº GATOS
,Achromobacter denitrificans,1,0,1,,0,0,0,0,0,0,1,0,1,0,0,0
,Achromobacter xylosoxidans,1,0,1,,0,0,0,0,0,0,1,0,1,0,0,0
,Acinetobacter spp,2,1,1,,0,0,0,0,0,0,1,0,1,1,1,0
,Acinetobacter Baumannii,7,6,1,,0,0,0,1,1,0,1,1,0,5,4,1
,Acinetobacter Lwoffii,13,11,2,,4,4,0,2,1,1,1,0,1,6,6,0
,Aerococcus spp,3,2,1,,1,1,0,0,0,0,1,0,1,1,1,0
,Aerococcus viridans,5,4,1,,3,3,0,1,0,1,1,1,0,0,0,0
,Alcaligenes faecalis,2,2,0,,1,1,0,0,0,0,1,1,0,0,0,0
,Bacillus spp,5,4,1,Contaminado,1,1,0,1,0,1,0,0,0,3,3,0
,Burkholderia spp.,1,1,0,,0,0,0,0,0,0,1,1,0,0,0,0
,Burkholderia cepacia,10,5,5,,3,1,2,3,2,1,1,0,1,3,2,1
,Candida spp,11,6,5,,1,1,0,2,2,0,4,2,2,4,1,3
,Candida guillermondii,1,1,0,,0,0,0,0,0,0,0,0,0,1,1,0
,Candida lusitaniae,1,1,0,,0,0,0,0,0,0,0,0,0,1,1,0
,Candida tropicalis,1,1,0,,0,0,0,1,1,0,0,0,0,0,0,0
,Chromobacterium violaceum,1,1,0,,0,0,0,1,1,0,0,0,0,0,0,0
,Citrobacter braakii,1,1,0,,0,0,0,0,0,0,0,0,0,1,1,0
,Citrobacter freundii,2,2,0,,2,2,0,0,0,0,0,0,0,0,0,0
,Citrobacter koseri,12,10,2,,5,4,1,3,3,0,3,2,1,1,1,0
,Clostridium spp.,1,0,1,,0,0,0,0,0,0,0,0,0,1,0,1
,Corynebacterium spp.,2,2,0,Contaminado,2,2,0,0,0,0,0,0,0,0,0,0
,Corynebacterium jeikeium,1,1,0,,1,1,0,0,0,0,0,0,0,0,0,0
,Corynebacterium urealyticum,3,3,0,,1,1,0,0,0,0,0,0,0,2,2,0
,Cryptococcus spp.,1,0,1,,0,0,0,0,0,0,1,0,1,0,0,0
,Enterobacter spp.,1,1,0,,1,1,0,0,0,0,0,0,0,0,0,0
,Enterobacter Aerogenes,14,12,2,,5,4,1,3,3,0,2,2,0,4,3,1
,Enterobacter Amnigenus,1,1,0,,0,0,0,1,1,0,0,0,0,0,0,0
,Enterobacter Cloacae,58,37,21,,21,13,8,10,7,3,9,5,4,18,12,6
,Enterococcus spp,2,1,1,,0,0,0,1,1,0,1,1,0,0,0,0
,Enterococcus avium,4,4,0,,1,1,0,2,2,0,1,1,0,0,0,0
,Enterococcus casseliflavus,10,6,4,,2,1,1,2,1,1,1,1,0,5,3,2
,Enterococcus durans,8,6,2,,3,3,0,1,0,1,1,1,0,3,2,1
,Enterococcus faecalis,338,168,170,,99,51,48,70,32,38,67,32,35,102,53,49
,Enterococcus faecium,68,56,12,,13,11,2,16,12,4,18,16,2,21,17,4
,Enterococcus gallinarum,19,13,6,,7,5,2,4,4,0,2,0,2,6,4,2
,Escherichia Coli,1709,1332,377,,443,355,88,441,350,92,375,283,92,450,345,105
,Fusarium spp.,1,0,1,,0,0,0,0,0,0,0,0,0,1,0,1
,Klebsiella oxytoca,15,15,0,,4,4,0,6,6,0,2,2,0,3,3,0
,Klebsiella pneumoniae,157,135,22,,51,45,6,39,33,6,25,19,6,42,38,4
,Kluyvera intermedia,1,1,0,,0,0,0,1,1,0,0,0,0,0,0,0
,Kocuria spp,2,1,1,Contaminado,1,0,1,0,0,0,1,1,0,0,0,0
,Lactococcus spp.,1,1,0,,0,0,0,0,0,0,1,1,0,0,0,0
,Leclercia spp.,2,2,0,,0,0,0,0,0,0,0,0,0,2,2,0
,Leclercia adecarboxylata,1,1,0,,0,0,0,1,1,0,0,0,0,0,0,0
,Leuconostoc spp.,1,1,0,,1,1,0,0,0,0,0,0,0,0,0,0
,Micrococcus spp,2,2,0,Contaminado,1,1,0,0,0,0,1,1,0,0,0,0
,Morganella morganii,2,2,0,,1,1,0,0,0,0,1,1,0,0,0,0
,Pandoraea spp.,1,1,0,,0,0,0,1,1,0,0,0,0,0,0,0
,Pantoea spp.,8,6,2,,0,0,0,1,1,0,2,1,1,5,4,1
,Pantoea agglomerans,6,4,2,,0,0,0,3,2,1,0,0,0,3,2,1
,Pasteurella spp,1,0,1,,0,0,0,0,0,0,1,0,1,0,0,0
